,MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1,COUNT
24,Amazona ochrocephala,65.41972789,2.632947846,16.45396825,0.799,0.9613,0.8727,67
25,Amazonetta brasiliensis,7.455464853,1.963696145,9.58723356,0.4375,0.7915,0.5635,22
26,Amblycercus holosericeus,89.74482993,1.89707483,5.204965986,0.9452,0.9793,0.9619,41
27,Ammodramus aurifrons,21.1085034,3.140566893,10.27068027,0.6727,0.8705,0.7589,58
28,Ammodramus humeralis,12.88274376,4.015306122,5.219455782,0.7117,0.7624,0.7362,21
29,Ampelioides tschudii,9.531360544,1.559818594,4.292993197,0.6895,0.8594,0.7651,111
30,Ampelion rubrocristatus,1.589659864,0.2679365079,0.2010430839,0.8877,0.8558,0.8715,9
31,Anabacerthia ruficaudata,13.67907029,0.4860770975,0.7627891156,0.9472,0.9657,0.9563,32
32,Anabacerthia striaticollis,44.89789116,3.642199546,5.340090703,0.8937,0.925,0.9091,70
33,Anairetes flavirostris,8.170385488,0.4195238095,0.5970748299,0.9319,0.9512,0.9414,7
34,Anairetes parulus,8.722902494,0.4710884354,0.9514739229,0.9017,0.9488,0.9246,8
35,Anas flavirostris,6.890612245,1.18462585,0.64430839,0.9145,0.8533,0.8828,20
36,Andigena hypoglauca,52.37340136,3.917142857,4.0669161,0.9279,0.9304,0.9292,93
37,Anhima cornuta,47.67176871,4.979433107,12.31569161,0.7947,0.9054,0.8465,66
38,Anhinga anhinga,19.0345805,1.479909297,2.779387755,0.8726,0.9279,0.8994,29
39,Anthracothorax nigricollis,5.12893424,4.073628118,2.452517007,0.6765,0.5573,0.6112,28
40,Anthus lutescens,7.675510204,3.27324263,2.650090703,0.7433,0.701,0.7216,32
41,Antrostomus sericocaudatus,59.3529932,6.524535147,11.67791383,0.8356,0.901,0.867,100
42,Ara ararauna,22.63548753,3.374013605,5.452675737,0.8059,0.8703,0.8368,39
43,Ara chloropterus,18.6714966,3.444557823,2.816893424,0.8689,0.8443,0.8564,50
44,Ara macao,57.47253968,8.039229025,6.983446712,0.8917,0.8773,0.8844,76
45,Ara militaris,34.61782313,10.10249433,0.8572562358,0.9758,0.7741,0.8633,89
46,Ara severus,41.11879819,0.9574603175,1.299773243,0.9694,0.9772,0.9733,21
47,Aramides cajaneus,27.71986395,8.511950113,31.99680272,0.4642,0.7651,0.5778,297
48,Aramides calopterus,11.8114966,0.2866893424,0.4676190476,0.9619,0.9763,0.9691,13
49,Aramus guarauna,13.34712018,2.782698413,3.04814059,0.8141,0.8275,0.8207,73
50,Aratinga weddellii,34.21290249,0.3321088435,1.446984127,0.9594,0.9904,0.9747,48
51,Ardea alba,12.40362812,4.067777778,1.022063492,0.9239,0.753,0.8298,25
52,Ardea cocoi,6.608480726,0.2070521542,2.345056689,0.7381,0.9696,0.8382,23
53,Arenaria interpres,13.80795918,2.55047619,0.5408843537,0.9623,0.8441,0.8993,50
54,Arremon brunneinucha,37.14111111,0.8105895692,6.119138322,0.8586,0.9786,0.9147,34
55,Arremon castaneiceps,70.22678005,2.333628118,8.052267574,0.8971,0.9678,0.9311,38
56,Arremon taciturnus,24.4144898,4.049365079,1.097165533,0.957,0.8577,0.9047,22
57,Arundinicola leucocephala,8.051111111,2.076848073,0.8791156463,0.9016,0.7949,0.8449,18
58,Asthenes helleri,33.83195011,1.002063492,1.702947846,0.9521,0.9712,0.9616,21
59,Asthenes urubambensis,43.13319728,0.8602947846,2.876961451,0.9375,0.9804,0.9585,55
60,Athene cunicularia,17.91072562,0.3811564626,1.531179138,0.9212,0.9792,0.9493,31
61,Atlapetes canigenis,43.83893424,5.603469388,3.160975057,0.9327,0.8867,0.9091,39
62,Atlapetes melanolaemus,17.5706576,0.5596825397,3.41414966,0.8373,0.9691,0.8984,20
63,Atticora fasciata,37.16585034,9.494716553,21.95555556,0.6286,0.7965,0.7027,89
64,Attila bolivianus,64.30619048,21.22743764,18.06120181,0.7807,0.7518,0.766,91
65,Attila cinnamomeus,77.78723356,4.343424036,3.244716553,0.96,0.9471,0.9535,83
66,Attila spadiceus,57.95904762,1.711133787,3.733174603,0.9395,0.9713,0.9551,34
67,Aulacorhynchus derbianus,28.23709751,3.121451247,6.980204082,0.8018,0.9005,0.8483,169
68,Aulacorhynchus prasinus,31.30668934,2.972471655,3.856213152,0.8903,0.9133,0.9017,423
69,Automolus infuscatus,39.08022676,10.15505669,12.75707483,0.7539,0.7937,0.7733,77
70,Automolus melanopezus,26.43714286,1.421020408,2.4930839,0.9138,0.949,0.9311,25
71,Automolus ochrolaemus,18.01342404,2.15106576,2.153333333,0.8932,0.8933,0.8933,16
72,Automolus rufipileatus,15.85442177,0.3744217687,3.610294785,0.8145,0.9769,0.8884,15
73,Automolus subulatus,33.60192744,3.299705215,9.941564626,0.7717,0.9106,0.8354,52
74,Bartramia longicauda,8.418548753,1.119024943,3.350226757,0.7153,0.8827,0.7902,17
75,Baryphthengus martii,24.53548753,11.79210884,11.53120181,0.6803,0.6754,0.6778,108
76,Basileuterus tristriatus,28.27947846,0.06242630385,0.690521542,0.9762,0.9978,0.9869,8
77,Berlepschia rikeri,23.79814059,0.7652380952,0.3414058957,0.9859,0.9688,0.9773,9
78,Bolborhynchus lineola,18.00517007,0.4158503401,1.523424036,0.922,0.9774,0.9489,29
79,Bolborhynchus orbygnesius,61.71029478,1.908707483,8.423718821,0.8799,0.97,0.9227,67
80,Brachygalba albogularis,49.37709751,4.510294785,3.808956916,0.9284,0.9163,0.9223,28
81,Brotogeris cyanoptera,14.74888889,1.364580499,0.2511111111,0.9833,0.9153,0.9481,75
82,Brotogeris sanctithomae,69.59823129,0.1398866213,1.434897959,0.9798,0.998,0.9888,9
83,Brotogeris versicolurus,31.7614966,3.470068027,2.913038549,0.916,0.9015,0.9087,47
84,Bubo virginianus,1.896961451,0.1802494331,0.1030385488,0.9485,0.9132,0.9305,11
85,Bubulcus ibis,22.83514739,0.3833786848,3.798095238,0.8574,0.9835,0.9161,147
86,Bucco capensis,22.27972789,13.52485261,2.859795918,0.8862,0.6223,0.7312,38
87,Bucco macrodactylus,26.2575737,9.702131519,6.021587302,0.8135,0.7302,0.7696,63
88,Bucco tamatia,80.09310658,14.59430839,2.774988662,0.9665,0.8459,0.9022,54
89,Busarellus nigricollis,30.95303855,1.384058957,18.94029478,0.6204,0.9572,0.7528,50
90,Buteo albigula,31.6339229,1.954353741,2.761405896,0.9197,0.9418,0.9306,29
91,Buteo albonotatus,17.02049887,11.18827664,0.8632426304,0.9517,0.6034,0.7385,22
92,Buteo brachyurus,21.10333333,1.022222222,7.115306122,0.7479,0.9538,0.8384,28
93,Buteo nitidus,16.31544218,5.151587302,19.21970522,0.4591,0.76,0.5724,52
94,Buteo platypterus,21.61569161,2.455600907,8.430884354,0.7194,0.898,0.7988,55
95,Buteo swainsoni,29.19897959,2.717845805,9.685328798,0.7509,0.9148,0.8248,39
96,Buteogallus meridionalis,10.55684807,1.705102041,6.857573696,0.6062,0.8609,0.7115,18
97,Buteogallus schistaceus,18.93081633,0.9581179138,19.04614512,0.4985,0.9518,0.6543,64
98,Buteogallus solitarius,19.99648526,14.57623583,1.433310658,0.9331,0.5784,0.7141,15
99,Buteogallus urubitinga,29.1593424,0.6019501134,2.799433107,0.9124,0.9798,0.9449,18
100,Butorides striata,8.420068027,2.513446712,5.284693878,0.6144,0.7701,0.6835,31
101,Cacicus cela,46.37163265,2.79537415,2.372585034,0.9513,0.9431,0.9472,83
102,Cacicus chrysonotus,91.48324263,5.247256236,8.038072562,0.9192,0.9458,0.9323,171
103,Cacicus haemorrhous,10.14285714,1.708730159,3.325011338,0.7531,0.8558,0.8012,28
104,Cacicus koepckeae,13.60061224,3.414126984,8.771519274,0.6079,0.7993,0.6906,44
105,Cacicus oseryi,16.32045351,1.110544218,1.656326531,0.9079,0.9363,0.9219,108
106,Cacicus solitarius,8.31845805,0.656893424,4.353718821,0.6564,0.9268,0.7685,12
107,Calidris alba,10.30904762,3.249183673,2.84031746,0.784,0.7604,0.772,29
108,Calidris bairdii,72.65138322,4.231201814,18.86038549,0.7939,0.945,0.8629,72
109,Calidris fuscicollis,56.40081633,10.19698413,8.087573696,0.8746,0.8469,0.8605,60
110,Calidris himantopus,57.96802721,10.19204082,17.35827664,0.7696,0.8505,0.808,145
111,Calidris melanotos,9.039410431,1.604444444,5.888548753,0.6055,0.8493,0.707,30
112,Calidris pusilla,14.22632653,3.041814059,7.378321995,0.6585,0.8238,0.7319,50
113,Calidris subruficollis,1.445736961,1.438820862,1.479569161,0.4942,0.5012,0.4977,12
114,Calliphlox amethystina,8.891451247,1.508072562,0.2946485261,0.9679,0.855,0.908,71
115,Campephilus haematogaster,5.066417234,0.04099773243,7.421995465,0.4057,0.992,0.5759,15
116,Campephilus melanoleucos,43.78675737,2.930589569,6.045623583,0.8787,0.9373,0.907,84
117,Campephilus rubricollis,15.951678,0.6820408163,45.91170068,0.2579,0.959,0.4064,56
118,Camptostoma obsoletum,6.715941043,6.374965986,4.144580499,0.6184,0.513,0.5608,15
119,Campylopterus largipennis,11.5760771,4.515419501,4.984943311,0.699,0.7194,0.709,34
120,Campylorhamphus trochilirostris,35.47163265,1.668480726,7.385646259,0.8277,0.9551,0.8868,28
121,Campylorhynchus turdinus,10.4185941,1.146235828,2.418571429,0.8116,0.9009,0.8539,15
122,Cantorchilus leucotis,23.77764172,4.191315193,2.32478458,0.9109,0.8501,0.8795,30
123,Capito auratus,125.5506349,18.92306122,10.36403628,0.9237,0.869,0.8955,116
124,Capsiempis flaveola,7.03739229,7.393968254,0.6137868481,0.9198,0.4876,0.6374,12
125,Caracara plancus,31.38072562,1.614603175,5.337959184,0.8546,0.9511,0.9003,65
126,Cardellina canadensis,21.15136054,4.77829932,3.592743764,0.8548,0.8157,0.8348,62
127,Casiornis rufus,7.118049887,0.213877551,13.79655329,0.3403,0.9708,0.504,28
128,Catamblyrhynchus diadema,67.01353741,7.727800454,11.40519274,0.8546,0.8966,0.8751,179
129,Catamenia homochroa,65.84138322,25.76621315,7.54478458,0.8972,0.7187,0.7981,120
130,Catamenia inornata,23.51419501,0.333968254,0.671814059,0.9722,0.986,0.9791,10
131,Cathartes aura,1.866281179,129.414898,0.1104761905,0.9441,0.0142,0.028,7
132,Catharus dryas,24.40496599,13.63358277,3.300113379,0.8809,0.6416,0.7424,48
133,Catharus fuscater,35.46487528,16.47503401,3.833446712,0.9025,0.6828,0.7774,56
134,Catharus fuscescens,54.52494331,1.657823129,3.637823129,0.9375,0.9705,0.9537,59
135,Catharus minimus,56.2444898,10.77485261,1.778752834,0.9693,0.8392,0.8996,110
136,Catharus ustulatus,9.356190476,0.3635147392,0.5043537415,0.9489,0.9626,0.9557,41
137,Celeus elegans,6.166145125,0.1127664399,2.806643991,0.6872,0.982,0.8086,85
138,Celeus flavus,25.58582766,2.802131519,3.623492063,0.8759,0.9013,0.8884,38
139,Celeus grammicus,33.44337868,2.737346939,11.02342404,0.7521,0.9243,0.8294,41
140,Celeus spectabilis,10.64120181,0.3687981859,0.4983219955,0.9553,0.9665,0.9609,8
141,Celeus torquatus,16.79460317,12.11650794,7.205419501,0.6998,0.5809,0.6348,48
142,Cephalopterus ornatus,1.557981859,1.044716553,0.9768707483,0.6146,0.5986,0.6065,7
143,Ceratopipra chloromeros,9.888639456,0.8920634921,1.088117914,0.9009,0.9173,0.909,17
144,Ceratopipra rubrocapilla,16.58539683,6.115306122,7.070748299,0.7011,0.7306,0.7156,39
145,Cercomacra cinerascens,16.3446712,0.6787755102,2.329750567,0.8752,0.9601,0.9157,88
146,Cercomacra manu,60.34517007,4.62446712,19.66099773,0.7543,0.9288,0.8325,96
147,Cercomacroides fuscicauda,15.1452381,2.126054422,4.797573696,0.7594,0.8769,0.814,22
148,Cercomacroides nigrescens,22.93170068,0.4492970522,5.998571429,0.7927,0.9808,0.8767,41
149,Cercomacroides serva,58.20879819,13.02918367,7.721746032,0.8829,0.8171,0.8487,70
150,Certhiaxis cinnamomeus,34.57839002,7.778843537,2.827891156,0.9244,0.8164,0.867,30
151,Chaetocercus mulsant,1.071156463,0.05333333333,6.089206349,0.1496,0.9526,0.2586,6
152,Chaetura brachyura,34.27712018,1.524648526,1.769387755,0.9509,0.9574,0.9542,28
153,Chaetura cinereiventris,42.50739229,5.223061224,4.325306122,0.9076,0.8906,0.899,38
154,Chaetura egregia,4.345487528,0.4891836735,1.212131519,0.7819,0.8988,0.8363,7
155,Chaetura pelagica,54.15868481,110.9201587,1.564444444,0.9719,0.3281,0.4906,95
156,Chaetura viridipennis,2.518571429,0.5309297052,1.564036281,0.6169,0.8259,0.7063,140
157,Chamaepetes goudotii,76.91535147,3.63446712,8.307596372,0.9025,0.9549,0.928,79
158,Chamaeza campanisona,48.33290249,0.2475963719,11.27174603,0.8109,0.9949,0.8935,145
159,Chamaeza nobilis,21.69179138,1.00462585,0.6570521542,0.9706,0.9557,0.9631,138
160,Charadrius collaris,21.71950113,1.079070295,2.418390023,0.8998,0.9527,0.9255,25
161,Chauna torquata,6.294172336,0.09551020408,9.429909297,0.4003,0.9851,0.5693,25
162,Chelidoptera tenebrosa,26.36496599,0.509478458,1.3730839,0.9505,0.981,0.9655,17
163,Chiroxiphia boliviana,28.44421769,5.479750567,3.695419501,0.885,0.8385,0.8611,47
164,Chiroxiphia pareola,4.235396825,3.78600907,33.66956916,0.1117,0.528,0.1844,54
165,Chlorestes notata,130.0375057,23.87319728,6.132539683,0.955,0.8449,0.8966,124
166,Chloroceryle aenea,21.31190476,4.291451247,10.40426304,0.672,0.8324,0.7436,60
167,Chloroceryle amazona,25.20514739,2.192539683,9.264671202,0.7312,0.92,0.8148,60
168,Chloroceryle americana,22.95306122,1.803764172,13.13773243,0.636,0.9271,0.7544,40
169,Chloroceryle inda,3.200839002,0.8312698413,0.3572789116,0.8996,0.7938,0.8434,9
170,Chlorochrysa calliparaea,26.62399093,8.99521542,2.282993197,0.921,0.7475,0.8252,52
171,Chlorophanes spiza,25.71582766,2.157596372,4.150680272,0.861,0.9226,0.8907,68
172,Chlorophonia cyanea,10.91505669,1.6469161,4.039024943,0.7299,0.8689,0.7934,28
173,Chloropipo unicolor,8.291337868,0.1651473923,5.104036281,0.619,0.9805,0.7589,25
174,Chlorospingus canigularis,40.50469388,14.82473923,3.212380952,0.9265,0.7321,0.8179,101
175,Chlorospingus flavigularis,29.06768707,3.28952381,7.689750567,0.7908,0.8983,0.8411,71
176,Chlorospingus flavopectus,52.12510204,12.89426304,11.99104308,0.813,0.8017,0.8073,220
177,Chlorospingus parvirostris,21.31575964,0.4224943311,1.578571429,0.931,0.9806,0.9552,25
178,Chlorostilbon mellisugus,3.332879819,1.21399093,5.10893424,0.3948,0.733,0.5132,21
179,Chlorothraupis carmioli,20.35539683,1.584671202,1.962063492,0.9121,0.9278,0.9199,23
180,Chondrohierax uncinatus,10.03668934,0.3462358277,1.45170068,0.8736,0.9667,0.9178,9
181,Chordeiles minor,9.727936508,2.532857143,2.016235828,0.8283,0.7934,0.8105,114
182,Chordeiles nacunda,0.471292517,0,1.57521542,0.2303,1,0.3744,2
183,Chordeiles rupestris,23.840839,0.6025623583,1.438231293,0.9431,0.9753,0.959,25
184,Chroicocephalus serranus,32.5992517,1.671269841,2.517029478,0.9283,0.9512,0.9396,57
185,Chrysuronia oenone,28.66702948,0.4032199546,2.08984127,0.9321,0.9861,0.9583,79
186,Ciconia maguari,2.392290249,0.1930839002,0.3984126984,0.8572,0.9253,0.89,75
187,Cinclodes albiventris,18.24482993,6.302879819,1.639047619,0.9176,0.7432,0.8213,19
188,Cinnycerthia fulva,59.91741497,4.908662132,12.6175737,0.826,0.9243,0.8724,87
189,Circus cinereus,27.6531746,3.867709751,2.62585034,0.9133,0.8773,0.8949,20
190,Cissopis leverianus,17.48807256,4.659115646,1.907324263,0.9017,0.7896,0.8419,66
191,Claravis pretiosa,4.939070295,0.3200680272,0.9799092971,0.8344,0.9391,0.8837,35
192,Clibanornis rubiginosus,63.91811791,42.82367347,10.23566893,0.862,0.5988,0.7067,147
193,Cnemotriccus fuscatus,10.91965986,3.609024943,0.3361904762,0.9701,0.7516,0.847,17
194,Cnipodectes subbrunneus,22.81195011,1.927936508,2.095011338,0.9159,0.9221,0.919,20
195,Cnipodectes superrufus,11.41698413,10.83097506,2.14122449,0.8421,0.5132,0.6377,95
196,Coccycua cinerea,21.11825397,0.9661451247,1.858503401,0.9191,0.9563,0.9373,33
197,Coccycua minuta,5.115668934,0.9454421769,5.121972789,0.4997,0.844,0.6277,16
198,Coccyzus americanus,14.19739229,1.12324263,0.4072789116,0.9721,0.9267,0.9489,10
199,Coccyzus erythropthalmus,79.24612245,9.871882086,12.2062585,0.8665,0.8892,0.8777,117
200,Coccyzus melacoryphus,3.000022676,3.364671202,0.3953741497,0.8836,0.4714,0.6148,6
201,Cochlearius cochlearius,20.37219955,9.697369615,2.772834467,0.8802,0.6775,0.7657,80
202,Coeligena coeligena,39.51346939,15.93557823,8.684648526,0.8198,0.7126,0.7625,115
203,Coereba flaveola,27.38133787,10.57888889,2.39260771,0.9196,0.7213,0.8085,44
204,Colaptes punctigula,11.93006803,1.536553288,0.06993197279,0.9942,0.8859,0.9369,101
205,Colaptes rivolii,20.25895692,0.920430839,3.410204082,0.8559,0.9565,0.9034,57
206,Colaptes rubiginosus,37.34478458,1.981133787,3.926848073,0.9049,0.9496,0.9267,29
207,Colaptes rupicola,6.451836735,0.9659410431,0.7108843537,0.9008,0.8698,0.885,21
208,Colibri cyanotus,3.883741497,4.77446712,0,1,0.4486,0.6193,44
209,Colibri delphinae,134.5093424,29.96653061,10.70709751,0.9263,0.8178,0.8687,226
210,Colonia colonus,6.752675737,3.825260771,1.572879819,0.8111,0.6384,0.7144,85
211,Columba livia,17.511678,6.138163265,1.534897959,0.9194,0.7405,0.8203,34
212,Columbina picui,18.61197279,1.28430839,16.93877551,0.5235,0.9354,0.6713,46
213,Columbina talpacoti,3.457709751,1.722653061,2.565578231,0.5741,0.6675,0.6172,16
214,Conioptilon mcilhennyi,17.62555556,3.003401361,0.5837868481,0.9679,0.8544,0.9076,20
215,Conirostrum albifrons,9.871768707,1.752108844,2.458639456,0.8006,0.8493,0.8242,25
216,Conirostrum ferrugineiventre,10.69528345,4.39521542,1.354421769,0.8876,0.7087,0.7882,21
217,Conirostrum speciosum,33.09718821,1.565623583,4.289637188,0.8853,0.9548,0.9187,34
218,Conopias cinchoneti,5.943877551,0.3023129252,1.009614512,0.8548,0.9516,0.9006,5
219,Conopias trivirgatus,23.20931973,9.853401361,4.674489796,0.8324,0.702,0.7616,37
220,Conopophaga ardesiaca,13.2945805,0.4613605442,0.821723356,0.9418,0.9665,0.954,61
221,Conopophaga peruviana,13.8947619,7.495736961,0.8959410431,0.9394,0.6496,0.7681,62
222,Conothraupis speculigera,4.762312925,0.4044671202,0.09818594104,0.9798,0.9217,0.9499,20
223,Contopus cinereus,16.90181406,0.3172108844,1.028480726,0.9426,0.9816,0.9617,27
224,Contopus cooperi,23.6393424,3.876643991,17.75609977,0.5711,0.8591,0.6861,118
225,Contopus fumigatus,9.249954649,0.6279365079,4.122154195,0.6917,0.9364,0.7957,22
226,Contopus nigrescens,29.41555556,7.302630385,16.59287982,0.6394,0.8011,0.7112,160
227,Contopus sordidulus,6.897482993,0.1815192744,0.9133333333,0.8831,0.9744,0.9265,47
228,Contopus virens,55.90036281,3.063628118,2.938820862,0.9501,0.948,0.949,53
229,Coragyps atratus,5.853015873,0.8365079365,0.24,0.9606,0.875,0.9158,6
230,Coryphaspiza melanotis,2.096825397,0.8331746032,0.2287528345,0.9016,0.7156,0.7979,190
231,Corythopis torquatus,12.09698413,6.322539683,0.06580498866,0.9946,0.6567,0.7911,30
232,Cotinga cayana,0.4885941043,0,5.506485261,0.0815,1,0.1507,6
233,Cotinga maynana,1.970612245,0.2507936508,3.144852608,0.3852,0.8871,0.5372,11
234,Cranioleuca curtata,30.8368254,1.812267574,5.366054422,0.8518,0.9445,0.8957,54
235,Cranioleuca gutturata,64.32873016,13.5946712,7.430272109,0.8965,0.8255,0.8595,95
236,Cranioleuca marcapatae,70.49907029,15.09503401,14.2699093,0.8317,0.8236,0.8276,100
237,Crax globulosa,10.86185941,0.3370294785,0.2311791383,0.9792,0.9699,0.9745,65
238,Creurgops dentatus,5.932789116,1.938027211,14.9961678,0.2835,0.7538,0.412,89
239,Crotophaga ani,28.87632653,6.761632653,2.518956916,0.9198,0.8103,0.8616,48
240,Crotophaga major,9.002380952,0.287414966,78.71854875,0.1026,0.9691,0.1856,128
241,Cryptopipo holochlora,13.81988662,0.5480725624,1.273129252,0.9156,0.9619,0.9382,21
242,Crypturellus atrocapillus,1.341111111,0.1890929705,4.007800454,0.2507,0.8764,0.3899,32
243,Crypturellus bartletti,19.1455102,3.399160998,1.552199546,0.925,0.8492,0.8855,59
244,Crypturellus cinereus,59.25430839,13.75603175,4.55675737,0.9286,0.8116,0.8662,108
245,Crypturellus obsoletus,24.1122449,3.015351474,4.724943311,0.8362,0.8888,0.8617,37
246,Crypturellus parvirostris,33.84800454,6.092154195,6.942789116,0.8298,0.8475,0.8385,74
247,Crypturellus soui,43.64730159,15.58002268,4.931496599,0.8985,0.7369,0.8097,58
248,Crypturellus strigulosus,29.56759637,9.593469388,0.7115419501,0.9765,0.755,0.8516,39
249,Crypturellus undulatus,17.66344671,0.3888435374,0.3830839002,0.9788,0.9785,0.9786,54
250,Cyanerpes caeruleus,23.66222222,2.478662132,6.64244898,0.7808,0.9052,0.8384,91
251,Cyanerpes cyaneus,8.233968254,7.329727891,0.5335147392,0.9391,0.529,0.6768,77
252,Cyanerpes nitidus,15.52024943,4.791269841,6.883582766,0.6927,0.7641,0.7267,29
253,Cyanocorax cyanomelas,46.61027211,9.662471655,4.271587302,0.916,0.8283,0.87,66
254,Cyanocorax violaceus,51.1424263,8.808004535,7.764535147,0.8682,0.8531,0.8606,86
255,Cyanocorax yncas,20.30489796,2.354285714,9.07446712,0.6911,0.8961,0.7804,63
256,Cyanolyca viridicyanus,6.002585034,0,4.974172336,0.5468,1,0.707,34
257,Cyclarhis gujanensis,47.75199546,4.238276644,2.392947846,0.9523,0.9185,0.9351,34
258,Cymbilaimus lineatus,71.35324263,9.185283447,1.344444444,0.9815,0.886,0.9313,43
259,Cymbilaimus sanctaemariae,67.70743764,1.355328798,5.404104308,0.9261,0.9804,0.9525,33
260,Cyphorhinus arada,8.244240363,12.81027211,1.847823129,0.8169,0.3916,0.5294,42
261,Cypseloides lemosi,9.922630385,0.2070748299,1.354603175,0.8799,0.9796,0.927,21
262,Dacnis cayana,16.34537415,1.492403628,2.422176871,0.8709,0.9163,0.8931,144
263,Dacnis flaviventer,1.41861678,0.3616099773,0,1,0.7969,0.887,35
264,Dacnis lineata,17.48061224,16.99390023,4.845011338,0.783,0.5071,0.6155,84
265,Daptrius ater,44.44791383,7.661519274,13.03482993,0.7732,0.853,0.8112,64
266,Deconychura longicauda,34.44571429,0.5097732426,8.089183673,0.8098,0.9854,0.889,44
267,Dendrexetastes rufigula,31.67253968,2.117641723,18.18798186,0.6352,0.9373,0.7573,54
268,Dendrocincla fuliginosa,13.97092971,0.8337188209,8.755963719,0.6147,0.9437,0.7445,26
269,Dendrocincla merula,2.841678005,1.317800454,1.390884354,0.6714,0.6832,0.6772,70
270,Dendrocolaptes certhia,43.04687075,15.2206576,15.55562358,0.7346,0.7388,0.7367,115
271,Dendrocolaptes picumnus,50.77081633,0.4171428571,1.930997732,0.9634,0.9919,0.9774,23
272,Dendrocygna autumnalis,3.398344671,1.152947846,0.5551473923,0.8596,0.7467,0.7992,6
273,Dendrocygna bicolor,3.200113379,0,10.38131519,0.2356,1,0.3814,49
274,Dendroplex picus,17.46231293,1.69723356,1.065056689,0.9425,0.9114,0.9267,16
275,Dichrozona cincta,48.2153288,10.69496599,3.179954649,0.9381,0.8185,0.8742,68
276,Diglossa brunneiventris,25.9807483,0.9014512472,2.689229025,0.9062,0.9665,0.9354,40
277,Diglossa caerulescens,5.325555556,3.233446712,0,1,0.6222,0.7671,51
278,Diglossa glauca,53.83405896,0.6501360544,1.747437642,0.9686,0.9881,0.9782,64
279,Diopsittaca nobilis,45.2600907,9.763378685,3.786417234,0.9228,0.8226,0.8698,68
280,Discosura langsdorffi,8.037165533,1.370340136,3.10244898,0.7215,0.8543,0.7823,22
281,Discosura popelairii,3.198004535,0.7853968254,0.6159410431,0.8385,0.8028,0.8203,17
282,Dolichonyx oryzivorus,11.75632653,0.2150566893,0.05761904762,0.9951,0.982,0.9885,25
283,Donacobius atricapilla,66.79040816,4.032403628,5.674829932,0.9217,0.9431,0.9323,72
284,Doryfera johannae,22.71471655,14.53151927,7.398412698,0.7543,0.6099,0.6744,70
285,Doryfera ludovicae,7.341609977,0.6400907029,2.841133787,0.721,0.9198,0.8083,33
286,Dromococcyx phasianellus,14.28070295,2.888321995,0.7057596372,0.9529,0.8318,0.8882,32
287,Drymophila devillei,56.80564626,0.9699546485,4.426938776,0.9277,0.9832,0.9547,27
288,Drymophila striaticeps,25.11789116,2.632539683,2.602426304,0.9061,0.9051,0.9056,22
289,Dryocopus lineatus,31.20321995,24.19791383,12.05732426,0.7213,0.5632,0.6325,68
