,FOLDER,IN FILE,MANUAL ID,OFFSET,DURATION,CLIP LENGTH,CHANNEL,SAMPLE RATE
2152,AM16_samples_split,20190616_100000.WAV,bird,33.0,3.0,60.0,0,44100
1877,AM16_samples_split,20190616_100000.WAV,bird,36.0,3.0,60.0,0,44100
1923,AM16_samples_split,20190616_100000.WAV,bird,39.0,3.0,60.0,0,44100
2036,AM16_samples_split,20190616_100000.WAV,bird,42.0,3.0,60.0,0,44100
1829,AM16_samples_split,20190616_100000.WAV,bird,45.0,3.0,60.0,0,44100
2205,AM16_samples_split,20190616_100000.WAV,bird,48.0,3.0,60.0,0,44100
2238,AM16_samples_split,20190616_100000.WAV,bird,51.0,3.0,60.0,0,44100
2196,AM16_samples_split,20190616_100000.WAV,bird,54.0,3.0,60.0,0,44100
1938,AM16_samples_split,20190616_100000.WAV,bird,57.0,3.0,60.0,0,44100
2042,AM16_samples_split,20190616_100000.WAV,bird,6.0,3.0,60.0,0,44100
1853,AM16_samples_split,20190616_100000.WAV,bird,9.0,3.0,60.0,0,44100
1977,AM16_samples_split,20190616_100000.WAV,bird,12.0,3.0,60.0,0,44100
1982,AM16_samples_split,20190616_100000.WAV,bird,15.0,3.0,60.0,0,44100
1823,AM16_samples_split,20190616_100000.WAV,bird,18.0,3.0,60.0,0,44100
2083,AM16_samples_split,20190616_100000.WAV,bird,21.0,3.0,60.0,0,44100
2210,AM16_samples_split,20190616_100000.WAV,bird,24.0,3.0,60.0,0,44100
1837,AM16_samples_split,20190616_100000.WAV,bird,27.0,3.0,60.0,0,44100
2220,AM16_samples_split,20190617_031000.WAV,bird,0.0,3.0,60.0,0,44100
2182,AM16_samples_split,20190617_031000.WAV,bird,30.0,3.0,60.0,0,44100
2087,AM16_samples_split,20190617_031000.WAV,bird,42.0,3.0,60.0,0,44100
1901,AM16_samples_split,20190617_031000.WAV,bird,48.0,3.0,60.0,0,44100
1988,AM16_samples_split,20190617_031000.WAV,bird,51.0,3.0,60.0,0,44100
2094,AM16_samples_split,20190617_031000.WAV,bird,6.0,3.0,60.0,0,44100
1900,AM16_samples_split,20190617_031000.WAV,bird,9.0,3.0,60.0,0,44100
1872,AM16_samples_split,20190617_031000.WAV,bird,12.0,3.0,60.0,0,44100
1830,AM16_samples_split,20190617_031000.WAV,bird,15.0,3.0,60.0,0,44100
1850,AM16_samples_split,20190618_194000.WAV,bird,0.0,3.0,60.0,0,44100
2183,AM16_samples_split,20190618_194000.WAV,bird,3.0,3.0,60.0,0,44100
1904,AM16_samples_split,20190618_194000.WAV,bird,30.0,3.0,60.0,0,44100
1984,AM16_samples_split,20190618_194000.WAV,bird,33.0,3.0,60.0,0,44100
2190,AM16_samples_split,20190618_194000.WAV,bird,36.0,3.0,60.0,0,44100
1945,AM16_samples_split,20190618_194000.WAV,bird,39.0,3.0,60.0,0,44100
2039,AM16_samples_split,20190618_194000.WAV,bird,42.0,3.0,60.0,0,44100
2108,AM16_samples_split,20190618_194000.WAV,bird,45.0,3.0,60.0,0,44100
1935,AM16_samples_split,20190618_194000.WAV,bird,48.0,3.0,60.0,0,44100
2225,AM16_samples_split,20190618_194000.WAV,bird,51.0,3.0,60.0,0,44100
2167,AM16_samples_split,20190618_194000.WAV,bird,54.0,3.0,60.0,0,44100
2019,AM16_samples_split,20190618_194000.WAV,bird,57.0,3.0,60.0,0,44100
2130,AM16_samples_split,20190618_194000.WAV,bird,6.0,3.0,60.0,0,44100
1937,AM16_samples_split,20190618_194000.WAV,bird,9.0,3.0,60.0,0,44100
2174,AM16_samples_split,20190618_194000.WAV,bird,12.0,3.0,60.0,0,44100
2096,AM16_samples_split,20190618_194000.WAV,bird,15.0,3.0,60.0,0,44100
1871,AM16_samples_split,20190618_194000.WAV,bird,18.0,3.0,60.0,0,44100
2062,AM16_samples_split,20190618_194000.WAV,bird,21.0,3.0,60.0,0,44100
1828,AM16_samples_split,20190618_194000.WAV,bird,24.0,3.0,60.0,0,44100
1908,AM16_samples_split,20190618_194000.WAV,bird,27.0,3.0,60.0,0,44100
2216,AM16_samples_split,20190619_132000.WAV,bird,3.0,3.0,60.0,0,44100
1921,AM16_samples_split,20190619_132000.WAV,bird,30.0,3.0,60.0,0,44100
2033,AM16_samples_split,20190619_132000.WAV,bird,33.0,3.0,60.0,0,44100
2030,AM16_samples_split,20190619_132000.WAV,bird,36.0,3.0,60.0,0,44100
1818,AM16_samples_split,20190619_132000.WAV,bird,39.0,3.0,60.0,0,44100
1954,AM16_samples_split,20190619_132000.WAV,bird,57.0,3.0,60.0,0,44100
1940,AM16_samples_split,20190619_132000.WAV,bird,12.0,3.0,60.0,0,44100
2040,AM16_samples_split,20190619_132000.WAV,bird,15.0,3.0,60.0,0,44100
1965,AM16_samples_split,20190619_132000.WAV,bird,18.0,3.0,60.0,0,44100
1817,AM16_samples_split,20190619_132000.WAV,bird,21.0,3.0,60.0,0,44100
2219,AM16_samples_split,20190619_132000.WAV,bird,24.0,3.0,60.0,0,44100
2239,AM16_samples_split,20190619_132000.WAV,bird,27.0,3.0,60.0,0,44100
2001,AM16_samples_split,20190620_194000.WAV,bird,0.0,3.0,60.0,0,44100
1801,AM16_samples_split,20190620_194000.WAV,bird,3.0,3.0,60.0,0,44100
2050,AM16_samples_split,20190620_194000.WAV,bird,30.0,3.0,60.0,0,44100
1822,AM16_samples_split,20190620_194000.WAV,bird,33.0,3.0,60.0,0,44100
1999,AM16_samples_split,20190620_194000.WAV,bird,36.0,3.0,60.0,0,44100
2221,AM16_samples_split,20190620_194000.WAV,bird,39.0,3.0,60.0,0,44100
2063,AM16_samples_split,20190620_194000.WAV,bird,42.0,3.0,60.0,0,44100
1886,AM16_samples_split,20190620_194000.WAV,bird,45.0,3.0,60.0,0,44100
2218,AM16_samples_split,20190620_194000.WAV,bird,48.0,3.0,60.0,0,44100
1879,AM16_samples_split,20190620_194000.WAV,bird,6.0,3.0,60.0,0,44100
1976,AM16_samples_split,20190620_194000.WAV,bird,18.0,3.0,60.0,0,44100
2065,AM16_samples_split,20190620_194000.WAV,bird,21.0,3.0,60.0,0,44100
2222,AM16_samples_split,20190620_194000.WAV,bird,24.0,3.0,60.0,0,44100
2018,AM16_samples_split,20190621_173000.WAV,bird,0.0,3.0,60.0,0,44100
2012,AM16_samples_split,20190621_173000.WAV,bird,3.0,3.0,60.0,0,44100
1948,AM16_samples_split,20190621_173000.WAV,bird,30.0,3.0,60.0,0,44100
1826,AM16_samples_split,20190621_173000.WAV,bird,33.0,3.0,60.0,0,44100
2124,AM16_samples_split,20190621_173000.WAV,bird,36.0,3.0,60.0,0,44100
1992,AM16_samples_split,20190621_173000.WAV,bird,39.0,3.0,60.0,0,44100
1920,AM16_samples_split,20190621_173000.WAV,bird,42.0,3.0,60.0,0,44100
2077,AM16_samples_split,20190621_173000.WAV,bird,45.0,3.0,60.0,0,44100
1827,AM16_samples_split,20190621_173000.WAV,bird,48.0,3.0,60.0,0,44100
1810,AM16_samples_split,20190621_173000.WAV,bird,51.0,3.0,60.0,0,44100
2203,AM16_samples_split,20190621_173000.WAV,bird,54.0,3.0,60.0,0,44100
2069,AM16_samples_split,20190621_173000.WAV,bird,57.0,3.0,60.0,0,44100
1987,AM16_samples_split,20190621_173000.WAV,bird,6.0,3.0,60.0,0,44100
1985,AM16_samples_split,20190621_173000.WAV,bird,12.0,3.0,60.0,0,44100
1951,AM16_samples_split,20190621_173000.WAV,bird,15.0,3.0,60.0,0,44100
2044,AM16_samples_split,20190621_173000.WAV,bird,18.0,3.0,60.0,0,44100
2144,AM16_samples_split,20190621_173000.WAV,bird,21.0,3.0,60.0,0,44100
2213,AM16_samples_split,20190621_173000.WAV,bird,24.0,3.0,60.0,0,44100
1855,AM16_samples_split,20190621_173000.WAV,bird,27.0,3.0,60.0,0,44100
2007,AM16_samples_split,20190622_025000.WAV,bird,33.0,3.0,60.0,0,44100
2195,AM16_samples_split,20190622_025000.WAV,bird,36.0,3.0,60.0,0,44100
2194,AM16_samples_split,20190622_025000.WAV,bird,39.0,3.0,60.0,0,44100
2156,AM16_samples_split,20190622_025000.WAV,bird,42.0,3.0,60.0,0,44100
2116,AM16_samples_split,20190622_025000.WAV,bird,45.0,3.0,60.0,0,44100
2066,AM16_samples_split,20190622_025000.WAV,bird,48.0,3.0,60.0,0,44100
1867,AM16_samples_split,20190622_025000.WAV,bird,51.0,3.0,60.0,0,44100
1825,AM16_samples_split,20190622_025000.WAV,bird,54.0,3.0,60.0,0,44100
1835,AM16_samples_split,20190622_025000.WAV,bird,57.0,3.0,60.0,0,44100
2055,AM16_samples_split,20190622_025000.WAV,bird,6.0,3.0,60.0,0,44100
2139,AM16_samples_split,20190622_025000.WAV,bird,9.0,3.0,60.0,0,44100
2176,AM16_samples_split,20190622_025000.WAV,bird,12.0,3.0,60.0,0,44100
2206,AM16_samples_split,20190622_025000.WAV,bird,15.0,3.0,60.0,0,44100
2086,AM16_samples_split,20190622_025000.WAV,bird,18.0,3.0,60.0,0,44100
1836,AM16_samples_split,20190622_025000.WAV,bird,21.0,3.0,60.0,0,44100
1986,AM16_samples_split,20190622_025000.WAV,bird,24.0,3.0,60.0,0,44100
1865,AM16_samples_split,20190622_053000.WAV,bird,3.0,3.0,60.0,0,44100
1831,AM16_samples_split,20190622_053000.WAV,bird,30.0,3.0,60.0,0,44100
2037,AM16_samples_split,20190622_053000.WAV,bird,33.0,3.0,60.0,0,44100
2022,AM16_samples_split,20190622_053000.WAV,bird,36.0,3.0,60.0,0,44100
1857,AM16_samples_split,20190622_053000.WAV,bird,39.0,3.0,60.0,0,44100
2011,AM16_samples_split,20190622_053000.WAV,bird,42.0,3.0,60.0,0,44100
2107,AM16_samples_split,20190622_053000.WAV,bird,45.0,3.0,60.0,0,44100
1969,AM16_samples_split,20190622_053000.WAV,bird,48.0,3.0,60.0,0,44100
1838,AM16_samples_split,20190622_053000.WAV,bird,51.0,3.0,60.0,0,44100
2134,AM16_samples_split,20190622_053000.WAV,bird,54.0,3.0,60.0,0,44100
1863,AM16_samples_split,20190622_053000.WAV,bird,57.0,3.0,60.0,0,44100
1824,AM16_samples_split,20190622_053000.WAV,bird,6.0,3.0,60.0,0,44100
1975,AM16_samples_split,20190622_053000.WAV,bird,9.0,3.0,60.0,0,44100
2237,AM16_samples_split,20190622_053000.WAV,bird,12.0,3.0,60.0,0,44100
2103,AM16_samples_split,20190622_053000.WAV,bird,15.0,3.0,60.0,0,44100
2136,AM16_samples_split,20190622_053000.WAV,bird,18.0,3.0,60.0,0,44100
1849,AM16_samples_split,20190622_053000.WAV,bird,21.0,3.0,60.0,0,44100
2004,AM16_samples_split,20190622_053000.WAV,bird,24.0,3.0,60.0,0,44100
1907,AM16_samples_split,20190622_053000.WAV,bird,27.0,3.0,60.0,0,44100
1932,AM16_samples_split,20190622_110000.WAV,bird,45.0,3.0,60.0,0,44100
1802,AM16_samples_split,20190622_110000.WAV,bird,48.0,3.0,60.0,0,44100
2188,AM16_samples_split,20190622_110000.WAV,bird,51.0,3.0,60.0,0,44100
2009,AM16_samples_split,20190622_110000.WAV,bird,57.0,3.0,60.0,0,44100
2025,AM16_samples_split,20190622_150000.WAV,bird,0.0,3.0,60.0,0,44100
1913,AM16_samples_split,20190622_150000.WAV,bird,3.0,3.0,60.0,0,44100
1807,AM16_samples_split,20190622_150000.WAV,bird,30.0,3.0,60.0,0,44100
1859,AM16_samples_split,20190622_150000.WAV,bird,33.0,3.0,60.0,0,44100
1924,AM16_samples_split,20190622_150000.WAV,bird,36.0,3.0,60.0,0,44100
2154,AM16_samples_split,20190622_150000.WAV,bird,39.0,3.0,60.0,0,44100
2158,AM16_samples_split,20190622_150000.WAV,bird,42.0,3.0,60.0,0,44100
2184,AM16_samples_split,20190622_150000.WAV,bird,45.0,3.0,60.0,0,44100
2140,AM16_samples_split,20190622_150000.WAV,bird,48.0,3.0,60.0,0,44100
2051,AM16_samples_split,20190622_150000.WAV,bird,51.0,3.0,60.0,0,44100
1994,AM16_samples_split,20190622_150000.WAV,bird,54.0,3.0,60.0,0,44100
2104,AM16_samples_split,20190622_150000.WAV,bird,57.0,3.0,60.0,0,44100
2053,AM16_samples_split,20190622_150000.WAV,bird,6.0,3.0,60.0,0,44100
1806,AM16_samples_split,20190622_150000.WAV,bird,9.0,3.0,60.0,0,44100
1844,AM16_samples_split,20190622_150000.WAV,bird,12.0,3.0,60.0,0,44100
2232,AM16_samples_split,20190622_150000.WAV,bird,15.0,3.0,60.0,0,44100
1897,AM16_samples_split,20190622_150000.WAV,bird,18.0,3.0,60.0,0,44100
2045,AM16_samples_split,20190622_150000.WAV,bird,21.0,3.0,60.0,0,44100
2128,AM16_samples_split,20190622_150000.WAV,bird,24.0,3.0,60.0,0,44100
1889,AM16_samples_split,20190622_172000.WAV,bird,3.0,3.0,60.0,0,44100
1990,AM16_samples_split,20190622_172000.WAV,bird,33.0,3.0,60.0,0,44100
2175,AM16_samples_split,20190622_172000.WAV,bird,42.0,3.0,60.0,0,44100
1926,AM16_samples_split,20190622_172000.WAV,bird,45.0,3.0,60.0,0,44100
2231,AM16_samples_split,20190622_172000.WAV,bird,51.0,3.0,60.0,0,44100
2070,AM16_samples_split,20190622_172000.WAV,bird,54.0,3.0,60.0,0,44100
2226,AM16_samples_split,20190622_172000.WAV,bird,57.0,3.0,60.0,0,44100
1809,AM16_samples_split,20190622_172000.WAV,bird,9.0,3.0,60.0,0,44100
1961,AM16_samples_split,20190622_172000.WAV,bird,18.0,3.0,60.0,0,44100
1925,AM16_samples_split,20190622_172000.WAV,bird,27.0,3.0,60.0,0,44100
2186,AM16_samples_split,20190624_103000.WAV,bird,0.0,3.0,60.0,0,44100
2200,AM16_samples_split,20190624_103000.WAV,bird,3.0,3.0,60.0,0,44100
1949,AM16_samples_split,20190624_103000.WAV,bird,30.0,3.0,60.0,0,44100
2059,AM16_samples_split,20190624_103000.WAV,bird,33.0,3.0,60.0,0,44100
2111,AM16_samples_split,20190624_103000.WAV,bird,36.0,3.0,60.0,0,44100
2211,AM16_samples_split,20190624_103000.WAV,bird,39.0,3.0,60.0,0,44100
2020,AM16_samples_split,20190624_103000.WAV,bird,42.0,3.0,60.0,0,44100
1861,AM16_samples_split,20190624_103000.WAV,bird,48.0,3.0,60.0,0,44100
2145,AM16_samples_split,20190624_103000.WAV,bird,51.0,3.0,60.0,0,44100
1892,AM16_samples_split,20190624_103000.WAV,bird,54.0,3.0,60.0,0,44100
1995,AM16_samples_split,20190624_103000.WAV,bird,57.0,3.0,60.0,0,44100
2214,AM16_samples_split,20190624_103000.WAV,bird,6.0,3.0,60.0,0,44100
1851,AM16_samples_split,20190624_103000.WAV,bird,9.0,3.0,60.0,0,44100
1874,AM16_samples_split,20190624_103000.WAV,bird,12.0,3.0,60.0,0,44100
1866,AM16_samples_split,20190624_103000.WAV,bird,15.0,3.0,60.0,0,44100
1979,AM16_samples_split,20190624_103000.WAV,bird,18.0,3.0,60.0,0,44100
1869,AM16_samples_split,20190624_103000.WAV,bird,21.0,3.0,60.0,0,44100
2163,AM16_samples_split,20190624_103000.WAV,bird,24.0,3.0,60.0,0,44100
1980,AM16_samples_split,20190624_103000.WAV,bird,27.0,3.0,60.0,0,44100
2076,AM16_samples_split,20190624_120000.WAV,bird,0.0,3.0,60.0,0,44100
1860,AM16_samples_split,20190624_120000.WAV,bird,3.0,3.0,60.0,0,44100
2143,AM16_samples_split,20190624_120000.WAV,bird,30.0,3.0,60.0,0,44100
2161,AM16_samples_split,20190624_120000.WAV,bird,33.0,3.0,60.0,0,44100
2159,AM16_samples_split,20190624_120000.WAV,bird,39.0,3.0,60.0,0,44100
2075,AM16_samples_split,20190624_120000.WAV,bird,48.0,3.0,60.0,0,44100
2046,AM16_samples_split,20190624_120000.WAV,bird,51.0,3.0,60.0,0,44100
1944,AM16_samples_split,20190624_120000.WAV,bird,54.0,3.0,60.0,0,44100
2048,AM16_samples_split,20190624_120000.WAV,bird,57.0,3.0,60.0,0,44100
1832,AM16_samples_split,20190624_120000.WAV,bird,6.0,3.0,60.0,0,44100
2085,AM16_samples_split,20190624_120000.WAV,bird,9.0,3.0,60.0,0,44100
2178,AM16_samples_split,20190624_120000.WAV,bird,12.0,3.0,60.0,0,44100
1971,AM16_samples_split,20190624_120000.WAV,bird,15.0,3.0,60.0,0,44100
1973,AM16_samples_split,20190624_120000.WAV,bird,18.0,3.0,60.0,0,44100
1856,AM16_samples_split,20190624_120000.WAV,bird,21.0,3.0,60.0,0,44100
2057,AM16_samples_split,20190624_120000.WAV,bird,27.0,3.0,60.0,0,44100
1821,AM16_samples_split,20190626_131000.WAV,bird,0.0,3.0,60.0,0,44100
1939,AM16_samples_split,20190626_131000.WAV,bird,3.0,3.0,60.0,0,44100
2165,AM16_samples_split,20190626_131000.WAV,bird,33.0,3.0,60.0,0,44100
1845,AM16_samples_split,20190626_131000.WAV,bird,36.0,3.0,60.0,0,44100
1909,AM16_samples_split,20190626_131000.WAV,bird,39.0,3.0,60.0,0,44100
1852,AM16_samples_split,20190626_131000.WAV,bird,42.0,3.0,60.0,0,44100
2162,AM16_samples_split,20190626_131000.WAV,bird,45.0,3.0,60.0,0,44100
1967,AM16_samples_split,20190626_131000.WAV,bird,51.0,3.0,60.0,0,44100
2090,AM16_samples_split,20190626_131000.WAV,bird,54.0,3.0,60.0,0,44100
1903,AM16_samples_split,20190626_131000.WAV,bird,57.0,3.0,60.0,0,44100
2148,AM16_samples_split,20190626_131000.WAV,bird,9.0,3.0,60.0,0,44100
1880,AM16_samples_split,20190626_131000.WAV,bird,12.0,3.0,60.0,0,44100
2172,AM16_samples_split,20190626_131000.WAV,bird,15.0,3.0,60.0,0,44100
1946,AM16_samples_split,20190626_131000.WAV,bird,18.0,3.0,60.0,0,44100
2003,AM16_samples_split,20190626_131000.WAV,bird,21.0,3.0,60.0,0,44100
1887,AM16_samples_split,20190626_131000.WAV,bird,24.0,3.0,60.0,0,44100
2010,AM16_samples_split,20190626_131000.WAV,bird,27.0,3.0,60.0,0,44100
2235,AM16_samples_split,20190627_125000.WAV,bird,3.0,3.0,60.0,0,44100
2166,AM16_samples_split,20190627_125000.WAV,bird,36.0,3.0,60.0,0,44100
2150,AM16_samples_split,20190627_125000.WAV,bird,48.0,3.0,60.0,0,44100
2157,AM16_samples_split,20190627_125000.WAV,bird,12.0,3.0,60.0,0,44100
1883,AM16_samples_split,20190627_125000.WAV,bird,18.0,3.0,60.0,0,44100
2098,AM16_samples_split,20190628_062000.WAV,bird,0.0,3.0,60.0,0,44100
1927,AM16_samples_split,20190628_062000.WAV,bird,3.0,3.0,60.0,0,44100
1888,AM16_samples_split,20190628_062000.WAV,bird,30.0,3.0,60.0,0,44100
2168,AM16_samples_split,20190628_062000.WAV,bird,33.0,3.0,60.0,0,44100
1928,AM16_samples_split,20190628_062000.WAV,bird,36.0,3.0,60.0,0,44100
2146,AM16_samples_split,20190628_062000.WAV,bird,39.0,3.0,60.0,0,44100
1811,AM16_samples_split,20190628_062000.WAV,bird,42.0,3.0,60.0,0,44100
1815,AM16_samples_split,20190628_062000.WAV,bird,45.0,3.0,60.0,0,44100
1816,AM16_samples_split,20190628_062000.WAV,bird,48.0,3.0,60.0,0,44100
1873,AM16_samples_split,20190628_062000.WAV,bird,51.0,3.0,60.0,0,44100
2058,AM16_samples_split,20190628_062000.WAV,bird,54.0,3.0,60.0,0,44100
1905,AM16_samples_split,20190628_062000.WAV,bird,57.0,3.0,60.0,0,44100
1875,AM16_samples_split,20190628_062000.WAV,bird,6.0,3.0,60.0,0,44100
2097,AM16_samples_split,20190628_062000.WAV,bird,9.0,3.0,60.0,0,44100
1930,AM16_samples_split,20190628_062000.WAV,bird,12.0,3.0,60.0,0,44100
2023,AM16_samples_split,20190628_062000.WAV,bird,15.0,3.0,60.0,0,44100
2204,AM16_samples_split,20190628_062000.WAV,bird,18.0,3.0,60.0,0,44100
2032,AM16_samples_split,20190628_062000.WAV,bird,21.0,3.0,60.0,0,44100
2072,AM16_samples_split,20190628_062000.WAV,bird,24.0,3.0,60.0,0,44100
2223,AM16_samples_split,20190628_062000.WAV,bird,27.0,3.0,60.0,0,44100
2230,AM16_samples_split,20190629_150000.WAV,bird,33.0,3.0,60.0,0,44100
1858,AM16_samples_split,20190629_150000.WAV,bird,36.0,3.0,60.0,0,44100
2006,AM16_samples_split,20190629_150000.WAV,bird,39.0,3.0,60.0,0,44100
2002,AM16_samples_split,20190629_150000.WAV,bird,45.0,3.0,60.0,0,44100
2160,AM16_samples_split,20190629_150000.WAV,bird,48.0,3.0,60.0,0,44100
2014,AM16_samples_split,20190629_150000.WAV,bird,51.0,3.0,60.0,0,44100
2035,AM16_samples_split,20190629_150000.WAV,bird,54.0,3.0,60.0,0,44100
2127,AM16_samples_split,20190629_150000.WAV,bird,57.0,3.0,60.0,0,44100
2229,AM16_samples_split,20190629_150000.WAV,bird,15.0,3.0,60.0,0,44100
1912,AM16_samples_split,20190630_035000.WAV,bird,0.0,3.0,60.0,0,44100
2081,AM16_samples_split,20190630_035000.WAV,bird,3.0,3.0,60.0,0,44100
2234,AM16_samples_split,20190630_035000.WAV,bird,30.0,3.0,60.0,0,44100
1906,AM16_samples_split,20190630_035000.WAV,bird,33.0,3.0,60.0,0,44100
2147,AM16_samples_split,20190630_035000.WAV,bird,36.0,3.0,60.0,0,44100
1814,AM16_samples_split,20190630_035000.WAV,bird,39.0,3.0,60.0,0,44100
1993,AM16_samples_split,20190630_035000.WAV,bird,42.0,3.0,60.0,0,44100
2217,AM16_samples_split,20190630_035000.WAV,bird,45.0,3.0,60.0,0,44100
2064,AM16_samples_split,20190630_035000.WAV,bird,48.0,3.0,60.0,0,44100
1876,AM16_samples_split,20190630_035000.WAV,bird,51.0,3.0,60.0,0,44100
2101,AM16_samples_split,20190630_035000.WAV,bird,54.0,3.0,60.0,0,44100
1820,AM16_samples_split,20190630_035000.WAV,bird,57.0,3.0,60.0,0,44100
1833,AM16_samples_split,20190630_035000.WAV,bird,6.0,3.0,60.0,0,44100
2060,AM16_samples_split,20190630_035000.WAV,bird,9.0,3.0,60.0,0,44100
1893,AM16_samples_split,20190630_035000.WAV,bird,12.0,3.0,60.0,0,44100
1997,AM16_samples_split,20190630_035000.WAV,bird,15.0,3.0,60.0,0,44100
1890,AM16_samples_split,20190630_035000.WAV,bird,18.0,3.0,60.0,0,44100
2031,AM16_samples_split,20190630_035000.WAV,bird,21.0,3.0,60.0,0,44100
2115,AM16_samples_split,20190630_035000.WAV,bird,24.0,3.0,60.0,0,44100
2082,AM16_samples_split,20190630_035000.WAV,bird,27.0,3.0,60.0,0,44100
2142,AM16_samples_split,20190630_121000.WAV,bird,0.0,3.0,60.0,0,44100
1931,AM16_samples_split,20190630_121000.WAV,bird,3.0,3.0,60.0,0,44100
1998,AM16_samples_split,20190630_121000.WAV,bird,30.0,3.0,60.0,0,44100
2132,AM16_samples_split,20190630_121000.WAV,bird,33.0,3.0,60.0,0,44100
2061,AM16_samples_split,20190630_121000.WAV,bird,36.0,3.0,60.0,0,44100
1839,AM16_samples_split,20190630_121000.WAV,bird,39.0,3.0,60.0,0,44100
2187,AM16_samples_split,20190630_121000.WAV,bird,42.0,3.0,60.0,0,44100
1882,AM16_samples_split,20190630_121000.WAV,bird,45.0,3.0,60.0,0,44100
1843,AM16_samples_split,20190630_121000.WAV,bird,48.0,3.0,60.0,0,44100
1922,AM16_samples_split,20190630_121000.WAV,bird,51.0,3.0,60.0,0,44100
1804,AM16_samples_split,20190630_121000.WAV,bird,54.0,3.0,60.0,0,44100
2092,AM16_samples_split,20190630_121000.WAV,bird,57.0,3.0,60.0,0,44100
1848,AM16_samples_split,20190630_121000.WAV,bird,9.0,3.0,60.0,0,44100
2191,AM16_samples_split,20190630_121000.WAV,bird,12.0,3.0,60.0,0,44100
2013,AM16_samples_split,20190630_121000.WAV,bird,15.0,3.0,60.0,0,44100
1896,AM16_samples_split,20190630_121000.WAV,bird,18.0,3.0,60.0,0,44100
1943,AM16_samples_split,20190630_121000.WAV,bird,21.0,3.0,60.0,0,44100
1813,AM16_samples_split,20190630_121000.WAV,bird,24.0,3.0,60.0,0,44100
2135,AM16_samples_split,20190630_121000.WAV,bird,27.0,3.0,60.0,0,44100
